i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-3.15456649,0.00000000
0,1,0.01250000,0.00000000,0.00000000,0.00000000,-3.15465799,0.00000000
0,2,0.02500000,0.00000000,0.00000000,0.00000000,-3.15470034,0.00000000
0,3,0.03750000,0.00000000,0.00000000,0.00000000,-3.15476824,0.00000000
0,4,0.05000000,0.00000000,0.00000000,0.00000000,-3.15485619,0.00000000
0,5,0.06250000,0.00000000,0.00000000,0.00000000,-3.15495505,0.00000000
0,6,0.07500000,0.00000000,0.00000000,0.00000000,-3.15505799,0.00000000
0,7,0.08750000,0.00000000,0.00000000,0.00000000,-3.15515906,0.00000000
0,8,0.10000000,0.00000000,0.00000000,0.00000000,-3.15525358,0.00000000
0,9,0.11250000,0.00000000,0.00000000,0.00000000,-3.15533786,0.00000000
0,10,0.12500000,0.00000000,0.00000000,0.00000000,-3.15540905,0.00000000
0,11,0.13750000,0.00000000,0.00000000,0.00000000,-3.15546501,0.00000000
0,12,0.15000000,0.00000000,0.00000000,0.00000000,-3.15550415,0.00000000
0,13,0.16250000,0.00000000,0.00000000,0.00000000,-3.15552536,0.00000000
0,14,0.17500000,0.00000000,0.00000000,0.00000000,-3.15552786,0.00000000
0,15,0.18750000,0.00000000,0.00000000,0.00000000,-3.15551119,0.00000000
0,16,0.20000000,0.00000000,0.00000000,0.00000000,-3.15547509,0.00000000
0,17,0.21250000,0.00000000,0.00000000,0.00000000,-3.15541952,0.00000000
0,18,0.22500000,0.00000000,0.00000000,0.00000000,-3.15534454,0.00000000
0,19,0.23750000,0.00000000,0.00000000,0.00000000,-3.15525035,0.00000000
0,20,0.25000000,0.00000000,0.00000000,0.00000000,-3.15513724,0.00000000
0,21,0.26250000,0.00000000,0.00000000,0.00000000,-3.15500554,0.00000000
0,22,0.27500000,0.00000000,0.00000000,0.00000000,-3.15485565,0.00000000
0,23,0.28750000,0.00000000,0.00000000,0.00000000,-3.15468801,0.00000000
0,24,0.30000000,0.00000000,0.00000000,0.00000000,-3.15450309,0.00000000
0,25,0.31250000,0.00000000,0.00000000,0.00000000,-3.15430140,0.00000000
0,26,0.32500000,0.00000000,0.00000000,0.00000000,-3.15408345,0.00000000
0,27,0.33750000,0.00000000,0.00000000,0.00000000,-3.15384981,0.00000000
0,28,0.35000000,0.00000000,0.00000000,0.00000000,-3.15360106,0.00000000
0,29,0.36250000,0.00000000,0.00000000,0.00000000,-3.15333780,0.00000000
0,30,0.37500000,0.00000000,0.00000000,0.00000000,-3.15306068,0.00000000
0,31,0.38750000,0.00000000,0.00000000,0.00000000,-3.15277037,0.00000000
0,32,0.40000000,0.00000000,0.00000000,0.00000000,-3.15246759,0.00000000
0,33,0.41250000,0.00000000,0.00000000,0.00000000,-3.15215311,0.00000000
0,34,0.42500000,0.00000000,0.00000000,0.00000000,-3.15182771,0.00000000
0,35,0.43750000,0.00000000,0.00000000,0.00000000,-3.15149227,0.00000000
0,36,0.45000000,0.00000000,0.00000000,0.00000000,-3.15114770,0.00000000
0,37,0.46250000,0.00000000,0.00000000,0.00000000,-3.15079495,0.00000000
0,38,0.47500000,0.00000000,0.00000000,0.00000000,-3.15043506,0.00000000
0,39,0.48750000,0.00000000,0.00000000,0.00000000,-3.15006911,0.00000000
0,40,0.50000000,0.00000000,0.00000000,0.00000000,-3.14969825,0.00000000
0,41,0.51250000,0.00000000,0.00000000,0.00000000,-3.14932370,0.00000000
0,42,0.52500000,0.00000000,0.00000000,0.00000000,-3.14894671,0.00000000
0,43,0.53750000,0.00000000,0.00000000,0.00000000,-3.14856862,0.00000000
0,44,0.55000000,0.00000000,0.00000000,0.00000000,-3.14819081,0.00000000
0,45,0.56250000,0.00000000,0.00000000,0.00000000,-3.14781472,0.00000000
0,46,0.57500000,0.00000000,0.00000000,0.00000000,-3.14744185,0.00000000
0,47,0.58750000,0.00000000,0.00000000,0.00000000,-3.14707372,0.00000000
0,48,0.60000000,0.00000000,0.00000000,0.00000000,-3.14671193,0.00000000
0,49,0.61250000,0.00000000,0.00000000,0.00000000,-3.14635807,0.00000000
0,50,0.62500000,0.00000000,0.00000000,0.00000000,-3.14601375,0.00000000
0,51,0.63750000,0.00000000,0.00000000,0.00000000,-3.14568060,0.00000000
0,52,0.65000000,0.00000000,0.00000000,0.00000000,-3.14536023,0.00000000
0,53,0.66250000,0.00000000,0.00000000,0.00000000,-3.14505422,0.00000000
0,54,0.67500000,0.00000000,0.00000000,0.00000000,-3.14476412,0.00000000
0,55,0.68750000,0.00000000,0.00000000,0.00000000,-3.14449142,0.00000000
0,56,0.70000000,0.00000000,0.00000000,0.00000000,-3.14423753,0.00000000
