i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-285.94687078,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-285.94767371,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-285.94795957,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-285.94823479,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-285.94861866,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-285.94894043,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-285.94925204,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-285.94947707,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-285.94963767,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-285.94970419,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-285.94968661,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-285.94957491,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-285.94937418,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-285.94908224,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-285.94870297,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-285.94823841,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-285.94769394,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-285.94707576,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-285.94639298,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-285.94565689,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-285.94488165,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-285.94408405,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-285.94328297,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-285.94249983,0.00000000
