i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-121.34266342,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-121.34346644,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-121.34374082,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-121.34400019,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-121.34436137,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-121.34466016,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-121.34494700,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-121.34514881,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-121.34528695,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-121.34533316,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-121.34529711,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-121.34516937,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-121.34495499,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-121.34465212,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-121.34426472,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-121.34379499,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-121.34324833,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-121.34263089,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-121.34195157,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-121.34122129,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-121.34045369,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-121.33966489,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-121.33887301,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-121.33809847,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-121.33736322,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-121.33668972,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-121.33609940,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-121.33561219,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-121.33524344,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-121.33500542,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-121.33490131,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-121.33493198,0.00000000
0,32,0.80000000,0.00000000,0.00000000,0.00000000,-121.33508296,0.00000000
0,33,0.82500000,0.00000000,0.00000000,0.00000000,-121.33534365,0.00000000
0,34,0.85000000,0.00000000,0.00000000,0.00000000,-121.33567738,0.00000000
0,35,0.87500000,0.00000000,0.00000000,0.00000000,-121.33606710,0.00000000
0,36,0.90000000,0.00000000,0.00000000,0.00000000,-121.33645015,0.00000000
0,37,0.92500000,0.00000000,0.00000000,0.00000000,-121.33681139,0.00000000
0,38,0.95000000,0.00000000,0.00000000,0.00000000,-121.33706875,0.00000000
0,39,0.97500000,0.00000000,0.00000000,0.00000000,-121.33720507,0.00000000
0,40,1.00000000,0.00000000,0.00000000,0.00000000,-121.33720507,0.00000000
1,0,0.00000000,0.02500000,0.00000000,0.00000000,-121.34346644,0.00000000
1,1,0.02500000,0.02500000,0.00009949,-0.00002271,-121.34346644,0.00010205
1,2,0.05000000,0.02500000,0.00006194,0.00011481,-121.34374082,0.00013046
1,3,0.07500000,0.02500000,-0.00022803,0.00028334,-121.34400019,0.00036370
1,4,0.10000000,0.02500000,-0.00074762,0.00045489,-121.34436137,0.00087513
1,5,0.12500000,0.02500000,-0.00149921,0.00059817,-121.34466016,0.00161414
1,6,0.15000000,0.02500000,-0.00242629,0.00071315,-121.34494700,0.00252893
1,7,0.17500000,0.02500000,-0.00349968,0.00079634,-121.34514881,0.00358914
1,8,0.20000000,0.02500000,-0.00467047,0.00085257,-121.34528695,0.00474765
1,9,0.22500000,0.02500000,-0.00590675,0.00088405,-121.34533316,0.00597255
1,10,0.25000000,0.02500000,-0.00717171,0.00089459,-121.34529711,0.00722729
1,11,0.27500000,0.02500000,-0.00843740,0.00088625,-121.34516937,0.00848382
1,12,0.30000000,0.02500000,-0.00967521,0.00086096,-121.34495499,0.00971344
1,13,0.32500000,0.02500000,-0.01086046,0.00081967,-121.34465212,0.01089135
1,14,0.35000000,0.02500000,-0.01196843,0.00076301,-121.34426472,0.01199272
1,15,0.37500000,0.02500000,-0.01297594,0.00069122,-121.34379499,0.01299434
1,16,0.40000000,0.02500000,-0.01386000,0.00060458,-121.34324833,0.01387318
1,17,0.42500000,0.02500000,-0.01459862,0.00050348,-121.34263089,0.01460730
1,18,0.45000000,0.02500000,-0.01517084,0.00038870,-121.34195157,0.01517582
1,19,0.47500000,0.02500000,-0.01555762,0.00026155,-121.34122129,0.01555982
1,20,0.50000000,0.02500000,-0.01574253,0.00012399,-121.34045369,0.01574302
1,21,0.52500000,0.02500000,-0.01571286,-0.00002135,-121.33966489,0.01571287
1,22,0.55000000,0.02500000,-0.01546038,-0.00017108,-121.33887301,0.01546132
1,23,0.57500000,0.02500000,-0.01498273,-0.00032089,-121.33809847,0.01498617
1,24,0.60000000,0.02500000,-0.01428444,-0.00046564,-121.33736322,0.01429203
1,25,0.62500000,0.02500000,-0.01337798,-0.00059966,-121.33668972,0.01339141
1,26,0.65000000,0.02500000,-0.01228412,-0.00071695,-121.33609940,0.01230502
1,27,0.67500000,0.02500000,-0.01103236,-0.00081155,-121.33561219,0.01106216
1,28,0.70000000,0.02500000,-0.00966009,-0.00087795,-121.33524344,0.00969991
1,29,0.72500000,0.02500000,-0.00821241,-0.00091144,-121.33500542,0.00826283
1,30,0.75000000,0.02500000,-0.00673934,-0.00090868,-121.33490131,0.00680032
1,31,0.77500000,0.02500000,-0.00529566,-0.00086771,-121.33493198,0.00536628
1,32,0.80000000,0.02500000,-0.00393532,-0.00078895,-121.33508296,0.00401362
1,33,0.82500000,0.02500000,-0.00271292,-0.00067425,-121.33534365,0.00279545
1,34,0.85000000,0.02500000,-0.00167347,-0.00052937,-121.33567738,0.00175521
1,35,0.87500000,0.02500000,-0.00085835,-0.00036080,-121.33606710,0.00093110
1,36,0.90000000,0.02500000,-0.00028715,-0.00018357,-121.33645015,0.00034081
1,37,0.92500000,0.02500000,0.00003221,-0.00001266,-121.33681139,0.00003461
1,38,0.95000000,0.02500000,0.00012842,0.00011198,-121.33706875,0.00017039
1,39,0.97500000,0.02500000,0.00007920,0.00015220,-121.33720507,0.00017158
1,40,1.00000000,0.02500000,0.00000000,0.00000000,-121.33720507,0.00000000
2,0,0.00000000,0.05000000,0.00000000,0.00000000,-121.34325112,0.00000000
2,1,0.02500000,0.05000000,-0.00000670,0.00006325,-121.34325112,0.00006361
2,2,0.05000000,0.05000000,-0.00029056,0.00047425,-121.34352030,0.00055618
2,3,0.07500000,0.05000000,-0.00100191,0.00094774,-121.34369317,0.00137915
2,4,0.10000000,0.05000000,-0.00208828,0.00142459,-121.34397273,0.00252791
2,5,0.12500000,0.05000000,-0.00355548,0.00183088,-121.34417618,0.00399920
2,6,0.15000000,0.05000000,-0.00531810,0.00216165,-121.34438559,0.00574064
2,7,0.17500000,0.05000000,-0.00732859,0.00240627,-121.34452134,0.00771352
2,8,0.20000000,0.05000000,-0.00950836,0.00257355,-121.34461425,0.00985048
2,9,0.22500000,0.05000000,-0.01180096,0.00266819,-121.34463240,0.01209884
2,10,0.25000000,0.05000000,-0.01414246,0.00269886,-121.34458733,0.01439768
2,11,0.27500000,0.05000000,-0.01648098,0.00267093,-121.34446730,0.01669601
2,12,0.30000000,0.05000000,-0.01876403,0.00258948,-121.34427713,0.01894186
2,13,0.32500000,0.05000000,-0.02094498,0.00245741,-121.34401356,0.02108865
