i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-2.69710564,0.00000000
0,1,0.01250000,0.00000000,0.00000000,0.00000000,-2.69719712,0.00000000
0,2,0.02500000,0.00000000,0.00000000,0.00000000,-2.69724121,0.00000000
0,3,0.03750000,0.00000000,0.00000000,0.00000000,-2.69730954,0.00000000
0,4,0.05000000,0.00000000,0.00000000,0.00000000,-2.69739693,0.00000000
0,5,0.06250000,0.00000000,0.00000000,0.00000000,-2.69749387,0.00000000
0,6,0.07500000,0.00000000,0.00000000,0.00000000,-2.69759352,0.00000000
0,7,0.08750000,0.00000000,0.00000000,0.00000000,-2.69768996,0.00000000
0,8,0.10000000,0.00000000,0.00000000,0.00000000,-2.69777861,0.00000000
0,9,0.11250000,0.00000000,0.00000000,0.00000000,-2.69785588,0.00000000
0,10,0.12500000,0.00000000,0.00000000,0.00000000,-2.69791909,0.00000000
0,11,0.13750000,0.00000000,0.00000000,0.00000000,-2.69796623,0.00000000
0,12,0.15000000,0.00000000,0.00000000,0.00000000,-2.69799585,0.00000000
0,13,0.16250000,0.00000000,0.00000000,0.00000000,-2.69800697,0.00000000
0,14,0.17500000,0.00000000,0.00000000,0.00000000,-2.69799895,0.00000000
0,15,0.18750000,0.00000000,0.00000000,0.00000000,-2.69797143,0.00000000
0,16,0.20000000,0.00000000,0.00000000,0.00000000,-2.69792429,0.00000000
0,17,0.21250000,0.00000000,0.00000000,0.00000000,-2.69785755,0.00000000
0,18,0.22500000,0.00000000,0.00000000,0.00000000,-2.69777139,0.00000000
0,19,0.23750000,0.00000000,0.00000000,0.00000000,-2.69766608,0.00000000
0,20,0.25000000,0.00000000,0.00000000,0.00000000,-2.69754197,0.00000000
0,21,0.26250000,0.00000000,0.00000000,0.00000000,-2.69739947,0.00000000
0,22,0.27500000,0.00000000,0.00000000,0.00000000,-2.69723901,0.00000000
0,23,0.28750000,0.00000000,0.00000000,0.00000000,-2.69706110,0.00000000
0,24,0.30000000,0.00000000,0.00000000,0.00000000,-2.69686624,0.00000000
0,25,0.31250000,0.00000000,0.00000000,0.00000000,-2.69665496,0.00000000
0,26,0.32500000,0.00000000,0.00000000,0.00000000,-2.69642783,0.00000000
0,27,0.33750000,0.00000000,0.00000000,0.00000000,-2.69618542,0.00000000
0,28,0.35000000,0.00000000,0.00000000,0.00000000,-2.69592833,0.00000000
0,29,0.36250000,0.00000000,0.00000000,0.00000000,-2.69565720,0.00000000
0,30,0.37500000,0.00000000,0.00000000,0.00000000,-2.69537266,0.00000000
0,31,0.38750000,0.00000000,0.00000000,0.00000000,-2.69507540,0.00000000
0,32,0.40000000,0.00000000,0.00000000,0.00000000,-2.69476614,0.00000000
0,33,0.41250000,0.00000000,0.00000000,0.00000000,-2.69444563,0.00000000
0,34,0.42500000,0.00000000,0.00000000,0.00000000,-2.69411466,0.00000000
0,35,0.43750000,0.00000000,0.00000000,0.00000000,-2.69377406,0.00000000
0,36,0.45000000,0.00000000,0.00000000,0.00000000,-2.69342473,0.00000000
0,37,0.46250000,0.00000000,0.00000000,0.00000000,-2.69306759,0.00000000
0,38,0.47500000,0.00000000,0.00000000,0.00000000,-2.69270363,0.00000000
0,39,0.48750000,0.00000000,0.00000000,0.00000000,-2.69233388,0.00000000
0,40,0.50000000,0.00000000,0.00000000,0.00000000,-2.69195942,0.00000000
0,41,0.51250000,0.00000000,0.00000000,0.00000000,-2.69158139,0.00000000
0,42,0.52500000,0.00000000,0.00000000,0.00000000,-2.69120098,0.00000000
0,43,0.53750000,0.00000000,0.00000000,0.00000000,-2.69081944,0.00000000
0,44,0.55000000,0.00000000,0.00000000,0.00000000,-2.69043804,0.00000000
0,45,0.56250000,0.00000000,0.00000000,0.00000000,-2.69005813,0.00000000
