i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-45.02976607,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-45.03056994,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-45.03079307,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-45.03097266,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-45.03121865,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-45.03139543,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-45.03154848,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-45.03162075,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-45.03163133,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-45.03155949,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-45.03141439,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-45.03119035,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-45.03089304,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-45.03052289,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-45.03008477,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-45.02958209,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-45.02902046,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-45.02840574,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-45.02774541,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-45.02704804,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-45.02632369,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-45.02558392,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-45.02484141,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-45.02411010,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-45.02340500,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-45.02274173,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-45.02213545,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-45.02160108,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-45.02115083,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-45.02079614,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-45.02054224,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-45.02039491,0.00000000
0,32,0.80000000,0.00000000,0.00000000,0.00000000,-45.02034746,0.00000000
0,33,0.82500000,0.00000000,0.00000000,0.00000000,-45.02040006,0.00000000
0,34,0.85000000,0.00000000,0.00000000,0.00000000,-45.02052752,0.00000000
0,35,0.87500000,0.00000000,0.00000000,0.00000000,-45.02072886,0.00000000
0,36,0.90000000,0.00000000,0.00000000,0.00000000,-45.02094997,0.00000000
0,37,0.92500000,0.00000000,0.00000000,0.00000000,-45.02119914,0.00000000
0,38,0.95000000,0.00000000,0.00000000,0.00000000,-45.02138116,0.00000000
0,39,0.97500000,0.00000000,0.00000000,0.00000000,-45.02152418,0.00000000
0,40,1.00000000,0.00000000,0.00000000,0.00000000,-45.02152418,0.00000000
1,0,0.00000000,0.02500000,0.00000000,0.00000000,-45.03056994,0.00000000
1,1,0.02500000,0.02500000,0.00006286,0.00001307,-45.03056994,0.00006421
1,2,0.05000000,0.02500000,0.00000167,0.00013529,-45.03079307,0.00013530
1,3,0.07500000,0.02500000,-0.00026769,0.00026972,-45.03097266,0.00038001
1,4,0.10000000,0.02500000,-0.00070925,0.00039863,-45.03121865,0.00081360
1,5,0.12500000,0.02500000,-0.00132186,0.00050187,-45.03139543,0.00141393
1,6,0.15000000,0.02500000,-0.00205691,0.00058146,-45.03154848,0.00213752
1,7,0.17500000,0.02500000,-0.00289155,0.00063612,-45.03162075,0.00296069
1,8,0.20000000,0.02500000,-0.00378759,0.00067018,-45.03163133,0.00384643
1,9,0.22500000,0.02500000,-0.00472133,0.00068578,-45.03155949,0.00477087
1,10,0.25000000,0.02500000,-0.00566550,0.00068613,-45.03141439,0.00570690
1,11,0.27500000,0.02500000,-0.00660036,0.00067314,-45.03119035,0.00663460
1,12,0.30000000,0.02500000,-0.00750606,0.00064867,-45.03089304,0.00753404
1,13,0.32500000,0.02500000,-0.00836638,0.00061380,-45.03052289,0.00838887
1,14,0.35000000,0.02500000,-0.00916560,0.00056939,-45.03008477,0.00918327
1,15,0.37500000,0.02500000,-0.00988961,0.00051592,-45.02958209,0.00990305
1,16,0.40000000,0.02500000,-0.01052472,0.00045378,-45.02902046,0.01053450
1,17,0.42500000,0.02500000,-0.01105814,0.00038329,-45.02840574,0.01106478
1,18,0.45000000,0.02500000,-0.01147764,0.00030489,-45.02774541,0.01148169
1,19,0.47500000,0.02500000,-0.01177203,0.00021921,-45.02704804,0.01177407
1,20,0.50000000,0.02500000,-0.01193136,0.00012718,-45.02632369,0.01193204
1,21,0.52500000,0.02500000,-0.01194753,0.00003011,-45.02558392,0.01194756
1,22,0.55000000,0.02500000,-0.01181465,-0.00007034,-45.02484141,0.01181485
1,23,0.57500000,0.02500000,-0.01152980,-0.00017203,-45.02411010,0.01153108
1,24,0.60000000,0.02500000,-0.01109366,-0.00027222,-45.02340500,0.01109700
1,25,0.62500000,0.02500000,-0.01051131,-0.00036777,-45.02274173,0.01051774
