i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-8.87817102,0.00000000
0,1,0.01250000,0.00000000,0.00000000,0.00000000,-8.87826264,0.00000000
0,2,0.02500000,0.00000000,0.00000000,0.00000000,-8.87830242,0.00000000
0,3,0.03750000,0.00000000,0.00000000,0.00000000,-8.87838288,0.00000000
0,4,0.05000000,0.00000000,0.00000000,0.00000000,-8.87849460,0.00000000
0,5,0.06250000,0.00000000,0.00000000,0.00000000,-8.87862848,0.00000000
0,6,0.07500000,0.00000000,0.00000000,0.00000000,-8.87877609,0.00000000
0,7,0.08750000,0.00000000,0.00000000,0.00000000,-8.87892985,0.00000000
0,8,0.10000000,0.00000000,0.00000000,0.00000000,-8.87908346,0.00000000
0,9,0.11250000,0.00000000,0.00000000,0.00000000,-8.87923173,0.00000000
0,10,0.12500000,0.00000000,0.00000000,0.00000000,-8.87937050,0.00000000
0,11,0.13750000,0.00000000,0.00000000,0.00000000,-8.87949646,0.00000000
0,12,0.15000000,0.00000000,0.00000000,0.00000000,-8.87960703,0.00000000
0,13,0.16250000,0.00000000,0.00000000,0.00000000,-8.87970024,0.00000000
0,14,0.17500000,0.00000000,0.00000000,0.00000000,-8.87977459,0.00000000
0,15,0.18750000,0.00000000,0.00000000,0.00000000,-8.87982896,0.00000000
0,16,0.20000000,0.00000000,0.00000000,0.00000000,-8.87986258,0.00000000
0,17,0.21250000,0.00000000,0.00000000,0.00000000,-8.87987490,0.00000000
0,18,0.22500000,0.00000000,0.00000000,0.00000000,-8.87986557,0.00000000
0,19,0.23750000,0.00000000,0.00000000,0.00000000,-8.87983439,0.00000000
0,20,0.25000000,0.00000000,0.00000000,0.00000000,-8.87978131,0.00000000
0,21,0.26250000,0.00000000,0.00000000,0.00000000,-8.87970632,0.00000000
0,22,0.27500000,0.00000000,0.00000000,0.00000000,-8.87960953,0.00000000
0,23,0.28750000,0.00000000,0.00000000,0.00000000,-8.87949108,0.00000000
0,24,0.30000000,0.00000000,0.00000000,0.00000000,-8.87935119,0.00000000
0,25,0.31250000,0.00000000,0.00000000,0.00000000,-8.87919012,0.00000000
0,26,0.32500000,0.00000000,0.00000000,0.00000000,-8.87900818,0.00000000
0,27,0.33750000,0.00000000,0.00000000,0.00000000,-8.87880575,0.00000000
0,28,0.35000000,0.00000000,0.00000000,0.00000000,-8.87858324,0.00000000
0,29,0.36250000,0.00000000,0.00000000,0.00000000,-8.87834119,0.00000000
0,30,0.37500000,0.00000000,0.00000000,0.00000000,-8.87808016,0.00000000
0,31,0.38750000,0.00000000,0.00000000,0.00000000,-8.87780086,0.00000000
0,32,0.40000000,0.00000000,0.00000000,0.00000000,-8.87750406,0.00000000
0,33,0.41250000,0.00000000,0.00000000,0.00000000,-8.87719067,0.00000000
0,34,0.42500000,0.00000000,0.00000000,0.00000000,-8.87686172,0.00000000
0,35,0.43750000,0.00000000,0.00000000,0.00000000,-8.87651837,0.00000000
0,36,0.45000000,0.00000000,0.00000000,0.00000000,-8.87616194,0.00000000
0,37,0.46250000,0.00000000,0.00000000,0.00000000,-8.87579387,0.00000000
0,38,0.47500000,0.00000000,0.00000000,0.00000000,-8.87541578,0.00000000
0,39,0.48750000,0.00000000,0.00000000,0.00000000,-8.87502942,0.00000000
0,40,0.50000000,0.00000000,0.00000000,0.00000000,-8.87463671,0.00000000
0,41,0.51250000,0.00000000,0.00000000,0.00000000,-8.87423969,0.00000000
0,42,0.52500000,0.00000000,0.00000000,0.00000000,-8.87384056,0.00000000
0,43,0.53750000,0.00000000,0.00000000,0.00000000,-8.87344162,0.00000000
0,44,0.55000000,0.00000000,0.00000000,0.00000000,-8.87304531,0.00000000
0,45,0.56250000,0.00000000,0.00000000,0.00000000,-8.87265417,0.00000000
0,46,0.57500000,0.00000000,0.00000000,0.00000000,-8.87227082,0.00000000
0,47,0.58750000,0.00000000,0.00000000,0.00000000,-8.87189791,0.00000000
0,48,0.60000000,0.00000000,0.00000000,0.00000000,-8.87153812,0.00000000
0,49,0.61250000,0.00000000,0.00000000,0.00000000,-8.87119411,0.00000000
0,50,0.62500000,0.00000000,0.00000000,0.00000000,-8.87086848,0.00000000
0,51,0.63750000,0.00000000,0.00000000,0.00000000,-8.87056375,0.00000000
0,52,0.65000000,0.00000000,0.00000000,0.00000000,-8.87028228,0.00000000
0,53,0.66250000,0.00000000,0.00000000,0.00000000,-8.87002629,0.00000000
0,54,0.67500000,0.00000000,0.00000000,0.00000000,-8.86979776,0.00000000
0,55,0.68750000,0.00000000,0.00000000,0.00000000,-8.86959843,0.00000000
0,56,0.70000000,0.00000000,0.00000000,0.00000000,-8.86942975,0.00000000
0,57,0.71250000,0.00000000,0.00000000,0.00000000,-8.86929281,0.00000000
0,58,0.72500000,0.00000000,0.00000000,0.00000000,-8.86918839,0.00000000
0,59,0.73750000,0.00000000,0.00000000,0.00000000,-8.86911684,0.00000000
0,60,0.75000000,0.00000000,0.00000000,0.00000000,-8.86907810,0.00000000
0,61,0.76250000,0.00000000,0.00000000,0.00000000,-8.86907171,0.00000000
0,62,0.77500000,0.00000000,0.00000000,0.00000000,-8.86909672,0.00000000
0,63,0.78750000,0.00000000,0.00000000,0.00000000,-8.86915174,0.00000000
0,64,0.80000000,0.00000000,0.00000000,0.00000000,-8.86923494,0.00000000
0,65,0.81250000,0.00000000,0.00000000,0.00000000,-8.86934399,0.00000000
0,66,0.82500000,0.00000000,0.00000000,0.00000000,-8.86947612,0.00000000
0,67,0.83750000,0.00000000,0.00000000,0.00000000,-8.86962812,0.00000000
0,68,0.85000000,0.00000000,0.00000000,0.00000000,-8.86979631,0.00000000
0,69,0.86250000,0.00000000,0.00000000,0.00000000,-8.86997659,0.00000000
0,70,0.87500000,0.00000000,0.00000000,0.00000000,-8.87016440,0.00000000
