i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-149.44733625,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-149.44813922,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-149.44842009,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-149.44868845,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-149.44906251,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-149.44937438,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-149.44967532,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-149.44989037,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-149.45004131,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-149.45009912,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-149.45007361,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-149.44995502,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-149.44974841,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-149.44945175,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-149.44906894,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-149.44860209,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-149.44805660,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-149.44743864,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-149.44675724,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-149.44602352,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-149.44525144,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-149.44445749,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-149.44366023,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-149.44288068,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-149.44214134,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-149.44146528,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-149.44087444,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-149.44038921,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-149.44002520,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-149.43979479,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-149.43970102,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-149.43974441,0.00000000
0,32,0.80000000,0.00000000,0.00000000,0.00000000,-149.43990994,0.00000000
0,33,0.82500000,0.00000000,0.00000000,0.00000000,-149.44018621,0.00000000
0,34,0.85000000,0.00000000,0.00000000,0.00000000,-149.44053566,0.00000000
0,35,0.87500000,0.00000000,0.00000000,0.00000000,-149.44094014,0.00000000
0,36,0.90000000,0.00000000,0.00000000,0.00000000,-149.44133609,0.00000000
0,37,0.92500000,0.00000000,0.00000000,0.00000000,-149.44170693,0.00000000
0,38,0.95000000,0.00000000,0.00000000,0.00000000,-149.44197083,0.00000000
0,39,0.97500000,0.00000000,0.00000000,0.00000000,-149.44210790,0.00000000
0,40,1.00000000,0.00000000,0.00000000,0.00000000,-149.44210790,0.00000000
1,0,0.00000000,0.02500000,0.00000000,0.00000000,-149.44813922,0.00000000
1,1,0.02500000,0.02500000,0.00010322,-0.00002635,-149.44813922,0.00010653
