i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-69.13759376,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-69.13839714,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-69.13864083,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-69.13885478,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-69.13915059,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-69.13938135,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-69.13959408,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-69.13972498,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-69.13979378,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-69.13977637,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-69.13968191,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-69.13950296,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-69.13924476,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-69.13890668,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-69.13849309,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-69.13800689,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-69.13745358,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-69.13683921,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-69.13617199,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-69.13546167,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-69.13472010,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-69.13396113,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-69.13320013,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-69.13245421,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-69.13174178,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-69.13108179,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-69.13049241,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-69.12999091,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-69.12959093,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-69.12930410,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-69.12913441,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-69.12908483,0.00000000
0,32,0.80000000,0.00000000,0.00000000,0.00000000,-69.12914455,0.00000000
0,33,0.82500000,0.00000000,0.00000000,0.00000000,-69.12930777,0.00000000
0,34,0.85000000,0.00000000,0.00000000,0.00000000,-69.12954355,0.00000000
0,35,0.87500000,0.00000000,0.00000000,0.00000000,-69.12984191,0.00000000
0,36,0.90000000,0.00000000,0.00000000,0.00000000,-69.13014536,0.00000000
0,37,0.92500000,0.00000000,0.00000000,0.00000000,-69.13044865,0.00000000
0,38,0.95000000,0.00000000,0.00000000,0.00000000,-69.13066669,0.00000000
0,39,0.97500000,0.00000000,0.00000000,0.00000000,-69.13080088,0.00000000
0,40,1.00000000,0.00000000,0.00000000,0.00000000,-69.13080088,0.00000000
1,0,0.00000000,0.02500000,0.00000000,0.00000000,-69.13839714,0.00000000
1,1,0.02500000,0.02500000,0.00007949,-0.00000318,-69.13839714,0.00007955
1,2,0.05000000,0.02500000,0.00003079,0.00012435,-69.13864083,0.00012811
