i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-281.93222106,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-281.93302399,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-281.93330984,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-281.93358505,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-281.93396890,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-281.93429065,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-281.93460223,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-281.93482725,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-281.93498782,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-281.93505433,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-281.93503673,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-281.93492502,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-281.93472428,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-281.93443233,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-281.93405305,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-281.93358848,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-281.93304401,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-281.93242583,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-281.93174306,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-281.93100697,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-281.93023174,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-281.92943414,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-281.92863307,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-281.92784994,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-281.92710769,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-281.92642983,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-281.92583869,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-281.92535495,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-281.92499444,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-281.92476961,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-281.92468340,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-281.92473609,0.00000000
0,32,0.80000000,0.00000000,0.00000000,0.00000000,-281.92491222,0.00000000
0,33,0.82500000,0.00000000,0.00000000,0.00000000,-281.92519985,0.00000000
0,34,0.85000000,0.00000000,0.00000000,0.00000000,-281.92556073,0.00000000
0,35,0.87500000,0.00000000,0.00000000,0.00000000,-281.92597596,0.00000000
0,36,0.90000000,0.00000000,0.00000000,0.00000000,-281.92638130,0.00000000
