i,j,x,y,u,v,p,speed
0,0,0.00000000,0.00000000,0.00000000,0.00000000,-63.11191130,0.00000000
0,1,0.02500000,0.00000000,0.00000000,0.00000000,-63.11271477,0.00000000
0,2,0.05000000,0.00000000,0.00000000,0.00000000,-63.11295329,0.00000000
0,3,0.07500000,0.00000000,0.00000000,0.00000000,-63.11315909,0.00000000
0,4,0.10000000,0.00000000,0.00000000,0.00000000,-63.11344312,0.00000000
0,5,0.12500000,0.00000000,0.00000000,0.00000000,-63.11366134,0.00000000
0,6,0.15000000,0.00000000,0.00000000,0.00000000,-63.11386028,0.00000000
0,7,0.17500000,0.00000000,0.00000000,0.00000000,-63.11397778,0.00000000
0,8,0.20000000,0.00000000,0.00000000,0.00000000,-63.11403335,0.00000000
0,9,0.22500000,0.00000000,0.00000000,0.00000000,-63.11400365,0.00000000
0,10,0.25000000,0.00000000,0.00000000,0.00000000,-63.11389780,0.00000000
0,11,0.27500000,0.00000000,0.00000000,0.00000000,-63.11370875,0.00000000
0,12,0.30000000,0.00000000,0.00000000,0.00000000,-63.11344182,0.00000000
0,13,0.32500000,0.00000000,0.00000000,0.00000000,-63.11309660,0.00000000
0,14,0.35000000,0.00000000,0.00000000,0.00000000,-63.11267761,0.00000000
0,15,0.37500000,0.00000000,0.00000000,0.00000000,-63.11218784,0.00000000
0,16,0.40000000,0.00000000,0.00000000,0.00000000,-63.11163285,0.00000000
0,17,0.42500000,0.00000000,0.00000000,0.00000000,-63.11101867,0.00000000
0,18,0.45000000,0.00000000,0.00000000,0.00000000,-63.11035337,0.00000000
0,19,0.47500000,0.00000000,0.00000000,0.00000000,-63.10964646,0.00000000
0,20,0.50000000,0.00000000,0.00000000,0.00000000,-63.10890942,0.00000000
0,21,0.52500000,0.00000000,0.00000000,0.00000000,-63.10815562,0.00000000
0,22,0.55000000,0.00000000,0.00000000,0.00000000,-63.10739986,0.00000000
0,23,0.57500000,0.00000000,0.00000000,0.00000000,-63.10665856,0.00000000
0,24,0.60000000,0.00000000,0.00000000,0.00000000,-63.10594940,0.00000000
0,25,0.62500000,0.00000000,0.00000000,0.00000000,-63.10529058,0.00000000
0,26,0.65000000,0.00000000,0.00000000,0.00000000,-63.10469960,0.00000000
0,27,0.67500000,0.00000000,0.00000000,0.00000000,-63.10419319,0.00000000
0,28,0.70000000,0.00000000,0.00000000,0.00000000,-63.10378464,0.00000000
0,29,0.72500000,0.00000000,0.00000000,0.00000000,-63.10348546,0.00000000
0,30,0.75000000,0.00000000,0.00000000,0.00000000,-63.10329987,0.00000000
0,31,0.77500000,0.00000000,0.00000000,0.00000000,-63.10323133,0.00000000
